Text,Category,Score,Label
"['yalıkavak', 'ki', 'azeri', 'mutfak']",other,-0.25,negatif
"['bodrum', 'sezo', 'aç', 'yalıkavak', 'yeni', 'sumakha', 'uğra', 'biraz', 'marina', 'turla', 'sezon', 'baş', 'gündem', 'ol', 'milyon', 'bin', 'liralık', 'hesap', 'öden', 'bagatelle', 'sız', 'ne', 'ol', 'diye', 'bakın']",other,0.0,nötr
"['tffde', 'ara', 'gü', 'montel', 'açıklama', 'antrenman', 'ki', 'görüntü', 'konuş']",sports,-0.25,negatif
"['türkiye', 'futbol', 'federasyon', 'çekya', 'maçı', 'hazırlık', 'sıra', 'teknik', 'direktör', 'montel', 'ara', 'gü', 'ara', 'geç', 'sosyal', 'medya', 'gündem', 'ol', 'görüntü', 'sonra', 'açıkla', 'yap']",sports,-0.6124,negatif
"['yüzyıl', 'dir', 'yap', 'yeniden', 'gündem', 'ol', 'yer', 'sırtüstü', 'yat', 'uza', 'iyi', 'gel']",other,-0.4588,negatif
"['kaç', 'gün', 'içeri', 'yer', 'uza', 'dakikalık', 'dış', 'dünya', 'bağ', 'kop', 'en', 'son', 'çıplak', 'ayak', 'çim', 'zaman', 'bas', 'aslında', 'insanoğlu', 'yüzyıl', 'dir', 'yap', 'artık', 'doğa', 'uzaklaş', 'toprak', 'etkileş', 'geç', 'gün']",other,-0.7184,negatif
"['fenerbahçe', 'gündem', 'çağ', 'söyüncü']",sports,-0.4588,negatif
"['fenerbahçe', 'çağ', 'söyüncü', 'kadro', 'kat', 'için', 'girişim', 'sür', 'sarı', 'lacivertli', 'transfer', 'kısa', 'süre', 'iç', 'resmiyet', 'kazan', 'bekle']",sports,-0.875,negatif
"['simpson', 'yine', 'gündem', 'ol']",other,-0.4588,negatif
"['abd', 'başkan', 'Srumpa', 'yönelik', 'suikast', 'girişim', 'ardından', 'simpson', 'dizi', 'yine', 'gündem', 'ol', 'diz', 'bölüm', 'sosyal', 'medya', 'suikast', 'giriş', 'ilişkilendirildi', 'paylaşım', 'yap', 'kare', 'kaynak', 'farklı', 'ol', 'belirle']",other,-0.4588,negatif
"['görüntü', 'gündem', 'ol']",sports,-0.4588,negatif
"['tff', 'başkan', 'mehmet', 'büyükekşi', 'euro', 'çeyrek', 'final', 'hollanda', 'karşılaş', 'milli', 'takım', 'oyuncu', 'leipzig', 'berlin', 'uğurla', 'cenk', 'tos', 'tavır', 'olay', 'ol', 'cenk', 'otel', 'çıkış', 'futbolcu', 'tek', 'tek', 'tokalaş', 'büyükekşi', 'arka', 'geçi']",sports,-0.7184,negatif
"['tbmmde', 'tatil', 'sonra', 'yoğun', 'gündem']",politics,0.4588,pozitif
"['tbmm', 'genel', 'kurul', 'günlük', 'kurban', 'bayra', 'tatil', 'ardından', 'haftalık', 'çalış', 'haziran', 'salı', 'gün', 'başla', 'genel', 'kurul', 'kripto', 'varlık', 'ilişkin', 'düzenle', 'içer', 'kan', 'teklif', 'görüşme', 'başla', 'dijital', 'telif', 'gündem', 'topla']",politics,-0.7906,negatif
"['mertin', 'kurtarış', 'dünya', 'gündem', 'ol']",sports,-0.4588,negatif
"['milli', 'takım', 'euro', 'son', 'tur', 'avusturya', 'ye', 'çeyrek', 'finale', 'yüksel', 'mert', 'günok', 'te', 'yap', 'müthiş', 'kurtarış', 'maça', 'damga', 'vur', 'tecrübeli', 'file', 'bekçi', 'baumgartner', 'yer', 'sek', 'kafa', 'vuruş', 'harika', 'refleks', 'korner', 'ç']",sports,0.6124,pozitif
"['ilayda', 'alişan', 'oğulcan', 'engin', 'tatil', 'gel', 'aşk']",entertainment,0.4588,pozitif
"['ilayda', 'alişan', 'oğulcan', 'engin', 'bayram', 'tatil', 'geçir', 'için', 'çeşme', 'tercih', 'et']",entertainment,0.25,pozitif
"['bozcaada', 'girişçıkış', 'ücret', 'yeniden', 'gündem', 'ol']",other,-0.25,negatif
"['yaz', 'ay', 'tatilci', 'akın', 'uğra', 'bozcaada', 'beledi', 'ada', 'ikamet', 'et', 'çevre', 'trafik', 'düzenle', 'katkı', 'ücret', 'al', 'yıl', 'tl', 'ol', 'ücret', 'sosyal', 'medya', 'tartış', 'art', 'su', 'tüket', 'ada', 'sakin', 'olumsuz', 'etkile', 'günlü']",other,-0.9638,negatif
"['ak', 'parti', 'myk', 'toplantı', 'gündem']",politics,-0.25,negatif
"['ak', 'parti', 'merkez', 'yürü', 'kurul', 'myk', 'yarın', 'cumhurbaşkanı', 'recep', 'tayyip', 'erdoğan', 'başkanlık', 'topla', 'toplantı', 'siyaset', 'ki', 'normalleş', 'tartışma', 'yeni', 'anayasa', 'hazırlık', 'süreç', 'yan', 'sıra', 'vergi', 'reform', 'paket', 'gündem', 'gel', 'erdoğan', 'toplantı', 'so']",politics,-0.9001,negatif
"['sosyal', 'medya', 'gündem', 'ol', 'istanbul', 'ki', 'tepki', 'çek', 'tabela', 'kal']",other,-0.8402,negatif
"['sadrazam', 'mehmet', 'Haşa', 'taraf', 'li', 'yıl', 'baş', 'inşa', 'et', 'çeşme', 'namazgah', 'yıl', 'iç', 'kader', 'terk', 'et', 'tarih', 'yapı', 'alt', 'alüminyu', 'doğra', 'oto', 'lastik', 'dükkan', 'aç', 'çevredeki', 'sosyal', 'medya', 'ki', 'tepki', 'üzer', 'hareket', 'geç']",other,-0.9001,negatif
"['barış', 'alper', 'yılmaz', 'paylaşım', 'gündem', 'ol', 'bakanlık', 'murat', 'gevrek', 'açıkla']",sports,-0.6124,negatif
"['gençlik', 'spor', 'bakanlık', 'dün', 'akşam', 'milli', 'futbolcu', 'barış', 'alper', 'yılmaz', 'hak', 'paylaşım', 'bulun', 'murat', 'gevrekin', 'hatay', 'gençlik', 'spor', 'il', 'müdürlük', 'görev', 'önce', 'son', 'er', 'belir']",sports,-0.25,negatif
"['erdoğan', 'bugün', 'abdye', 'git', 'nato', 'lider', 'sıcak', 'gündem']",politics,-0.25,negatif
"['cumhurbaşkanı', 'erdoğan', 'nato', 'zirve', 'ittifak', 'lider', 'ara', 'gel', 'gazze', 'ukrayna', 'savaş', 'karade', 'güvenlik', 'terör', 'mücadele', 'türkiye', 'dur', 'yer', 'kez', 'vurgula']",politics,-0.6124,negatif
"['dilan', 'çıtak', 'konuş', 'de', 'sessizlik', 'bürü']",entertainment,0.0,nötr
